user_guid,search_query,store_id,product_ids
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Sapin de Noël artificiel,0414,"['10000236787', '10000226486', '10000253750', '10000246880', '10000227655', '10000266913', '10000549565', '10000237239', '10000230016', '10000266917', '10000274727', '10000253397', '10000260828', '10000249693', '10000177376', '10000272497', '10000237204', '10000236735', '10000253385', '10000401510', '10000444579', '10000266915', '10000266916', '10000274497', '10000227662', '10000536511', '10000204599', '10000255391', '10000253418', '10000266149', '10000212072', '10000265627', '10000239556', '10000264988', '10000264727', '10000265905', '10000434211', '10000265630', '10000271332', '10000264661', '10000237164', '10000260496']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Lingettes microfibre,0414,['10000339733']
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Loisir créatif Halloween,0414,"['10000444216', '10000241951', '10000221280', '10000221037', '10000221259', '10000175289', '10000514653']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Loisirs créatifs de Noël,0414,"['10000219671', '10000237315', '10000562182', '10000219482', '10000401510', '10000255391']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Tapis d'extérieur,0414,"['10000256767', '10000537074', '10000256768', '10000261240', '10000410634', '10000114107', '10000171443', '10000208632', '10000519985', '10000248989', '10000349301', '10000215955', '10000262042', '10000561142', '10000561143', '10000417153', '10000154136', '10000247788', '10000525633', '10000031820', '10000557637', '10000561140', '10000190541', '10000208627', '10000530850', '10000553538', '10000561138', '10000523988', '10000270175', '10000457493', '10000510467', '10000561141', '10000534718', '10000534702', '10000231985', '10000540048', '10000115358', '10000223186', '10000177140', '10000171036', '10000255681', '10000060466']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Plateau de service,0414,"['10000376030', '10000229169', '10000557072', '10000247698', '10000341133', '10000226527', '10000256425', '10000256921', '10000517564', '10000556224', '10000231057', '10000548547', '10000176620', '10000176622', '10000181621', '10000274543', '10000274542', '10000181622', '10000241808', '10000556225', '10000459193', '10000523529', '10000523528', '10000431204', '10000445141', '10000523549', '10000175464', '10000175466', '10000175465', '10000230437', '10000175467', '10000257297', '10000437481', '10000274723', '10000437479', '10000530818', '10000329079', '10000218903', '10000445140', '10000329081', '10000459105', '10000437478']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Camargue,0414,"['10000271814', '10000271805', '10000271813', '10000271803', '10000271806', '10000271812', '10000271807', '10000271815', '10000271808']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Charme à la campagne,0414,"['10000210213', '10000217230', '10000548579', '10000218098', '10000229104', '10000444488', '10000550836', '10000195780', '10000118825', '10000457033', '10000271067', '10000542720', '10000542724', '10000444750', '10000241428', '10000275332', '10000245745', '10000274750', '10000262380', '10000123935', '10000547771', '10000168279', '10000248581', '10000262377', '10000262378', '10000428673', '10000525523', '10000181558', '10000334870', '10000512634', '10000389108', '10000512462', '10000262379', '10000261273', '10000417679', '10000546691', '10000420195', '10000407755', '10000245746', '10000384759', '10000561211', '10000330950']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Range-bouteilles et casiers,0414,"['10000170676', '10000330674', '10000184709', '10000173615', '10000249750', '10000180739', '10000249679', '10000251680', '10000230443', '10000255955', '10000260077', '10000248172', '10000173781', '10000269636', '10000256799', '10000273702', '10000260076', '10000260078', '10000208632', '10000256270', '10000132457', '10000208631', '10000256272', '10000249183', '10000415208', '10000269824', '10000444594', '10000517772', '10000533490', '10000255512', '10000250003', '10000230958', '10000259857', '10000231525', '10000149895', '10000228033', '10000230435', '10000222456', '10000256271', '10000251492', '10000257250', '10000226397']"
b9c7350d8a0480ca292d58b224fbe77fae2bd224155fd79f28e8da5af3d67768,Table de fête,0414,"['10000373588', '10000201976', '10000201974', '10000354290', '10000207591', '10000230096', '10000269777', '10000416608', '10000391923', '10000391927', '10000416603', '10000382090', '10000215682', '10000391943', '10000527617', '10000341371', '10000252863', '10000391903', '10000443604', '10000349908', '10000391937', '10000248160', '10000366840', '10000420763', '10000231764', '10000349910', '10000215955', '10000391935', '10000349912', '10000366799', '10000221840', '10000248139', '10000175895', '10000259787', '10000392256', '10000452884', '10000246537', '10000392255', '10000452837', '10000452872', '10000451136', '10000523185']"
